"금연구역명","금연구역범위상세","시도명","시군구명","금연구역구분","금연구역지정근거명","금연구역면적","위반과태료","위반신고전화번호","소재지도로명주소","소재지지번주소","관리기관명","위도","경도","데이터기준일자","제공기관코드","작업일시"
"반포예원어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 사평대로 240","서울특별시 서초구 반포동 60-5","서초구보건소 건강정책과","37.50288909","127.0073194","2022-07-27","","2022-12-17 11:37:14.0"
"반포자이어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 신반포로 270","서울특별시 서초구 반포동 20-43","서초구보건소 건강정책과","37.50785869","127.0115816","2022-07-27","","2022-12-17 11:37:14.0"
"반포퍼스티지 하늘어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 반포대로 275(반포동)","서울특별시 서초구 반포동 18-1","서초구보건소 건강정책과","37.50239189","126.9959648","2022-07-27","","2022-12-17 11:37:14.0"
"반포퍼스티지솔마을 어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 반포대로 275(반포동 래미안퍼스티지아파트)","서울특별시 서초구 반포동 18-1","서초구보건소 건강정책과","37.50239189","126.9959648","2022-07-27","","2022-12-17 11:37:14.0"
"방배본동 행복한 어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 동광로11길 86(방배동)","서울특별시 서초구 방배동 768-5","서초구보건소 건강정책과","37.49501003","126.9854984","2022-07-27","","2022-12-17 11:37:14.0"
"방배안데르센어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 과천대로 946","서울특별시 서초구 방배동 2525","서초구보건소 건강정책과","37.47500718","126.9821559","2022-07-27","","2022-12-17 11:37:14.0"
"방배어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 방배로19길 36-8(방배동)","서울특별시 서초구 방배동 321-10","서초구보건소 건강정책과","37.48509242","126.9930667","2022-07-27","","2022-12-17 11:37:14.0"
"방배하나어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 서초대로14길 28(방배동)","서울특별시 서초구 방배동 962-34","서초구보건소 건강정책과","37.48448672","126.9899145","2022-07-27","","2022-12-17 11:37:14.0"
"베베어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 잠원로4길 34-11","서울특별시 서초구 잠원동 60-7","서초구보건소 건강정책과","37.51221956","127.0115325","2022-07-27","","2022-12-17 11:37:14.0"
"별어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 사임당로 130","서울특별시 서초구 서초동 1334","서초구보건소 건강정책과","37.4901482541","127.0249191908","2022-07-27","","2022-12-17 11:37:14.0"
"별하어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 태봉로2길 30","서울특별시 서초구 우면동 737","서초구보건소 건강정책과","37.4611518","127.025649","2022-07-27","","2022-12-17 11:37:14.0"
"봄꽃나라어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 잠원로14길 41","서울특별시 서초구 잠원동 50-5","서초구보건소 건강정책과","37.51649721","127.0143746","2022-07-27","","2022-12-17 11:37:14.0"
"사랑의어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 신반포로33길 22(잠원동)","서울특별시 서초구 잠원동 60-5","서초구보건소 건강정책과","37.50995268","127.0109938","2022-07-27","","2022-12-17 11:37:14.0"
"산성몬테소리어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 사평대로 253(반포동)","서울특별시 서초구 반포동 20-15","서초구보건소 건강정책과","37.50524943","127.0110383","2022-07-27","","2022-12-17 11:37:14.0"
"삼성전자서울R&amp;D캠퍼스어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 성촌길 67(우면동)","서울특별시 서초구 우면동 685","서초구보건소 건강정책과","37.46571539","127.0212602","2022-07-27","","2022-12-17 11:37:14.0"
"새롬키즈어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 서초대로6길 46(방배동)","서울특별시 서초구 방배동 958-20","서초구보건소 건강정책과","37.483153","126.9876217","2022-07-27","","2022-12-17 11:37:14.0"
"나래어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 양재대로2길 33(우면동 엘에이치서초4단지)","서울특별시 서초구 우면동 788","서초구보건소 건강정책과","37.45820762","127.0240973","2022-07-27","","2022-12-17 11:37:14.0"
"남서울교회어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 신반포로 19길 36","서울특별시 서초구 반포동 4-12","서초구보건소 건강정책과","37.50474321","126.9949692290","2022-07-27","","2022-12-17 11:37:14.0"
"남태령어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 전원말길 6(방배동)","서울특별시 서초구 방배동 2877","서초구보건소 건강정책과","37.46589698","126.9887866","2022-07-27","","2022-12-17 11:37:14.0"
"내곡어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 홍씨마을길 25(내곡동)","서울특별시 서초구 내곡동 156-4","서초구보건소 건강정책과","37.45319672","127.0654742","2022-07-27","","2022-12-17 11:37:14.0"
"늘푸른아이들어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 신반포로15길 4","서울특별시 서초구 반포동 10","서초구보건소 건강정책과","37.50414349","126.9974531","2022-07-27","","2022-12-17 11:37:14.0"
"늘푸른어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 신반포로33길 64","서울특별시 서초구 잠원동 63-34","서초구보건소 건강정책과","37.51331182","127.0086868","2022-07-27","","2022-12-17 11:37:14.0"
"니꼴라오어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 논현로5길 28(양재동)","서울특별시 서초구 양재동 396-2","서초구보건소 건강정책과","37.47206501","127.0481854","2022-07-27","","2022-12-17 11:37:14.0"
"다솜어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 반포대로 180(서초동)","서울특별시 서초구 서초동 1724","서초구보건소 건강정책과","37.49583968","127.0061563","2022-07-27","","2022-12-17 11:37:14.0"
"도담도담어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 헌릉로8길 45","서울특별시 서초구 내곡동 143","서초구보건소 건강정책과","37.45469039","127.062546","2022-07-27","","2022-12-17 11:37:14.0"
"도담어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 태봉로2길 65(우면동 서초네이처힐4단지)","서울특별시 서초구 우면동 720","서초구보건소 건강정책과","37.46412511","127.0257857","2022-07-27","","2022-12-17 11:37:14.0"
"도레미어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 효령로8길 24(방배동)","서울특별시 서초구 방배동 476-22","서초구보건소 건강정책과","37.47702985","126.9886888","2022-07-27","","2022-12-17 11:37:14.0"
"동아어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 신반포로33길 15","서울특별시 서초구 잠원동 157","서초구보건소 건강정책과","37.5090446","127.0095233","2022-07-27","","2022-12-17 11:37:14.0"
"드림빅스맘어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 태봉로2길 60","서울특별시 서초구 우면동 717","서초구보건소 건강정책과","37.46565291","127.0271833","2022-07-27","","2022-12-17 11:37:14.0"
"또래어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 신반포로33길 15","서울특별시 서초구 잠원동 157","서초구보건소 건강정책과","37.5090446","127.0095233","2022-07-27","","2022-12-17 11:37:14.0"
"라라라어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 양재대로2길 11","서울특별시 서초구 우면동 789","서초구보건소 건강정책과","37.45912995","127.0255398","2022-07-27","","2022-12-17 11:37:14.0"
"락앤락샛별어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","5","100000","02-2155-8176","서울특별시 서초구 서리풀3길 21(서초동)","서울특별시 서초구 서초동 1618-2","서초구보건소 건강정책과","37.48766808","127.0183537","2022-07-27","","2022-12-17 11:37:14.0"
"롯데건설어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 강남대로101안길 33(잠원동)","서울특별시 서초구 잠원동 15-3","서초구보건소 건강정책과","37.5158157","127.0170394","2022-07-27","","2022-12-17 11:37:14.0"
"리체꿈나라 어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 고무래로 35(반포동)","서울특별시 서초구 반포동 30-26","서초구보건소 건강정책과","37.50446722","127.0124542","2022-07-27","","2022-12-17 11:37:14.0"
"리틀밥어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 신반포로23길 41","서울특별시 서초구 잠원동 73","서초구보건소 건강정책과","37.51165781","127.0044694","2022-07-27","","2022-12-17 11:37:14.0"
"미소담은어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 바우뫼로 89","서울특별시 서초구 양재동 154-2","서초구보건소 건강정책과","37.4743540657","127.0311793435","2022-07-27","","2022-12-17 11:37:14.0"
"바로미어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 서초중앙로 157","서울특별시 서초구 서초동 1701-1","서초구보건소 건강정책과","37.49827564","127.0111232","2022-07-27","","2022-12-17 11:37:14.0"
"KTDS서초어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 효령로 176(방배동)","서울특별시 서초구 방배동 1001-1","서초구보건소 건강정책과","37.4821697","127.0036406","2022-07-27","","2022-12-17 11:37:14.0"
"KT연구개발센터꿈나무어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 태봉로 151(우면동)","서울특별시 서초구 우면동 17","서초구보건소 건강정책과","37.47131074","127.0293604","2022-07-27","","2022-12-17 11:37:14.0"
"LG전자강남센터어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 강남대로37길 43(서초동)","서울특별시 서초구 서초동 1365-8","서초구보건소 건강정책과","37.48465966","127.0310707","2022-07-27","","2022-12-17 11:37:14.0"
"가나안샘터어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 주흥17길 19","서울특별시 서초구 반포동 701-31","서초구보건소 건강정책과","37.50910854","127.0175989","2022-07-27","","2022-12-17 11:37:14.0"
"경기 몬테소리어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 서리풀4길 15-5 (서초동)","서울특별시 서초구 서초동 1613-19","서초구보건소 건강정책과","37.48835235","127.0213344","2022-07-27","","2022-12-17 11:37:14.0"
"고은아이어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 신반포로33길 15","서울특별시 서초구 잠원동 157","서초구보건소 건강정책과","37.5090446","127.0095233","2022-07-27","","2022-12-17 11:37:14.0"
"구립서초사랑어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 잠원로 213-3(잠원동)","서울특별시 서초구 잠원동 49-25","서초구보건소 건강정책과","37.52055888","127.0148324","2022-07-27","","2022-12-17 11:37:14.0"
"국립중앙도서관책사랑어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 반포대로 201","서울특별시 서초구 반포동 산60-1","서초구보건소 건강정책과","37.49742197","127.0032297","2022-07-27","","2022-12-17 11:37:14.0"
"근하어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 언남9길 7-11(양재동)","서울특별시 서초구 양재동 255-2","서초구보건소 건강정책과","37.47331784","127.0423754","2022-07-27","","2022-12-17 11:37:14.0"
"기쁜어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 바우뫼로9길 22-8(우면동)","서울특별시 서초구 우면동 50-5","서초구보건소 건강정책과","37.47259807","127.0264533","2022-07-27","","2022-12-17 11:37:14.0"
"까리따스어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 남부순환로 2124(방배동)","서울특별시 서초구 방배동 3274","서초구보건소 건강정책과","37.47498587","126.9843762","2022-07-27","","2022-12-17 11:37:14.0"
"꼬마숲바른i어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 양재대로2길 90","서울특별시 서초구 우면동 773","서초구보건소 건강정책과","37.45760689","127.0175687","2022-07-27","","2022-12-17 11:37:14.0"
"꿈꾸는새싹어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 방배선행길 1","서울특별시 서초구 방배동 2525","서초구보건소 건강정책과","37.4741084","126.9825981","2022-07-27","","2022-12-17 11:37:14.0"
"꿈터어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 바우뫼로 91","서울특별시 서초구 양재동 154-2","서초구보건소 건강정책과","37.47504047","127.031799","2022-07-27","","2022-12-17 11:37:14.0"
"Dulwich College Seoul","시설전체","서울특별시","서초구","교육연구시설                                                                                              ","국민건강증진법 제9조 제4항 제13호","17869","100000","02-2155-8176","서울특별시 서초구 신반포로15길 6(반포동)","서울특별시 서초구 반포동 5-1","서초구보건소 건강정책과","37.50429119","126.9953404","2022-07-27","","2022-12-17 11:37:14.0"
"뉴코아백화점","시설전체","서울특별시","서초구","대규모점포                                                                                               ","국민건강증진법 제9조 제4항 제18호","31141","100000","02-2155-8176","서울특별시 서초구 잠원로 51(잠원동)","서울특별시 서초구 잠원동 70-2","서초구보건소 건강정책과","37.50923936","127.0074377","2022-07-27","","2022-12-17 11:37:14.0"
"KTDS서초어린이집","시설전체","서울특별시","서초구","어린이집                                                                                                ","국민건강증진법 제9조 제4항 제9호","500","100000","02-2155-8176","서울특별시 서초구 효령로 176(방배동)","서울특별시 서초구 방배동 1001-1","서초구보건소 건강정책과","37.4821697","127.0036406","2022-07-27","","2022-12-17 11:37:14.0"
"KT연구개발센터꿈나무어린이집","시설전체","서울특별시","서초구","어린이집                                                                                                ","국민건강증진법 제9조 제4항 제9호","500","100000","02-2155-8176","서울특별시 서초구 태봉로 151(우면동)","서울특별시 서초구 우면동 17","서초구보건소 건강정책과","37.47131074","127.0293604","2022-07-27","","2022-12-17 11:37:14.0"
